timepoint,labels
2,3
3,3
4,3
5,3
6,3
7,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,rest
18,rest
19,rest
20,rest
21,rest
22,rest
23,rest
24,rest
25,rest
26,rest
27,rest
28,rest
29,rest
30,rest
31,rest
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,rest
48,rest
49,rest
50,rest
51,rest
52,rest
53,rest
54,rest
55,rest
56,rest
57,rest
58,rest
59,rest
60,rest
61,rest
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,rest
78,rest
79,rest
80,rest
81,rest
82,rest
83,rest
84,rest
85,rest
86,rest
87,rest
88,rest
89,rest
90,rest
91,rest
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,rest
108,rest
109,rest
110,rest
111,rest
112,rest
113,rest
114,rest
115,rest
116,rest
117,rest
118,rest
119,rest
120,rest
121,rest
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,rest
138,rest
139,rest
140,rest
141,rest
142,rest
143,rest
144,rest
145,rest
146,rest
147,rest
148,rest
149,rest
150,rest
151,rest
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,rest
168,rest
169,rest
170,rest
171,rest
172,rest
173,rest
174,rest
175,rest
176,rest
177,rest
178,rest
179,rest
180,rest
181,rest
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,rest
198,rest
199,rest
200,rest
201,rest
202,rest
203,rest
204,rest
205,rest
206,rest
207,rest
208,rest
209,rest
210,rest
211,rest
212,rest
213,rest
214,rest
215,rest
216,rest
217,rest
218,rest
219,rest
220,rest
