timepoint,labels
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,rest
18,rest
19,rest
20,rest
21,rest
22,rest
23,rest
24,rest
25,rest
26,rest
27,rest
28,rest
29,rest
30,rest
31,rest
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,rest
48,rest
49,rest
50,rest
51,rest
52,rest
53,rest
54,rest
55,rest
56,rest
57,rest
58,rest
59,rest
60,rest
61,rest
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,rest
78,rest
79,rest
80,rest
81,rest
82,rest
83,rest
84,rest
85,rest
86,rest
87,rest
88,rest
89,rest
90,rest
91,rest
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,rest
108,rest
109,rest
110,rest
111,rest
112,rest
113,rest
114,rest
115,rest
116,rest
117,rest
118,rest
119,rest
120,rest
121,rest
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,rest
138,rest
139,rest
140,rest
141,rest
142,rest
143,rest
144,rest
145,rest
146,rest
147,rest
148,rest
149,rest
150,rest
151,rest
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,rest
168,rest
169,rest
170,rest
171,rest
172,rest
173,rest
174,rest
175,rest
176,rest
177,rest
178,rest
179,rest
180,rest
181,rest
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,rest
198,rest
199,rest
200,rest
201,rest
202,rest
203,rest
204,rest
205,rest
206,rest
207,rest
208,rest
209,rest
210,rest
211,rest
212,rest
213,rest
214,rest
215,rest
216,rest
217,rest
218,rest
219,rest
220,rest
