timepoint,labels
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,rest
28,rest
29,rest
30,rest
31,rest
32,rest
33,rest
34,rest
35,rest
36,rest
37,rest
38,rest
39,rest
40,rest
41,rest
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
55,2
56,2
57,rest
58,rest
59,rest
60,rest
61,rest
62,rest
63,rest
64,rest
65,rest
66,rest
67,rest
68,rest
69,rest
70,rest
71,rest
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,rest
88,rest
89,rest
90,rest
91,rest
92,rest
93,rest
94,rest
95,rest
96,rest
97,rest
98,rest
99,rest
100,rest
101,rest
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,rest
118,rest
119,rest
120,rest
121,rest
122,rest
123,rest
124,rest
125,rest
126,rest
127,rest
128,rest
129,rest
130,rest
131,rest
132,3
133,3
134,3
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,rest
148,rest
149,rest
150,rest
151,rest
152,rest
153,rest
154,rest
155,rest
156,rest
157,rest
158,rest
159,rest
160,rest
161,rest
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,rest
178,rest
179,rest
180,rest
181,rest
182,rest
183,rest
184,rest
185,rest
186,rest
187,rest
188,rest
189,rest
190,rest
191,rest
192,3
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,rest
208,rest
209,rest
210,rest
211,rest
212,rest
213,rest
214,rest
215,rest
216,rest
217,rest
218,rest
219,rest
220,rest
