timepoint,labels
12,task
13,task
14,task
15,task
16,task
17,task
18,rest
19,rest
20,rest
21,rest
22,rest
23,rest
24,rest
25,rest
26,rest
27,rest
28,rest
29,rest
30,rest
31,rest
32,task
33,task
34,task
35,task
36,task
37,task
38,task
39,task
40,task
41,task
42,task
43,task
44,task
45,task
46,task
47,task
48,rest
49,rest
50,rest
51,rest
52,rest
53,rest
54,rest
55,rest
56,rest
57,rest
58,rest
59,rest
60,rest
61,rest
62,task
63,task
64,task
65,task
66,task
67,task
68,task
69,task
70,task
71,task
72,task
73,task
74,task
75,task
76,task
77,task
78,rest
79,rest
80,rest
81,rest
82,rest
83,rest
84,rest
85,rest
86,rest
87,rest
88,rest
89,rest
90,rest
91,rest
92,task
93,task
94,task
95,task
96,task
97,task
98,task
99,task
100,task
101,task
102,task
103,task
104,task
105,task
106,task
107,task
108,rest
109,rest
110,rest
111,rest
112,rest
113,rest
114,rest
115,rest
116,rest
117,rest
118,rest
119,rest
120,rest
121,rest
122,task
123,task
124,task
125,task
126,task
127,task
128,task
129,task
130,task
131,task
132,task
133,task
134,task
135,task
136,task
137,task
138,rest
139,rest
140,rest
141,rest
142,rest
143,rest
144,rest
145,rest
146,rest
147,rest
148,rest
149,rest
150,rest
151,rest
152,task
153,task
154,task
155,task
156,task
157,task
158,task
159,task
160,task
161,task
162,task
163,task
164,task
165,task
166,task
167,task
168,rest
169,rest
170,rest
171,rest
172,rest
173,rest
174,rest
175,rest
176,rest
177,rest
178,rest
179,rest
180,rest
181,rest
182,task
183,task
184,task
185,task
186,task
187,task
188,task
189,task
190,task
191,task
192,task
193,task
194,task
195,task
196,task
197,task
198,rest
199,rest
200,rest
201,rest
202,rest
203,rest
204,rest
205,rest
206,rest
207,rest
208,rest
209,rest
210,rest
211,rest
212,rest
213,rest
214,rest
215,rest
216,rest
217,rest
218,rest
219,rest
220,rest
